,Alabama,Alaska,Texas
1,14,-4,20
2,17,-5,18
3,14,-6,18
4,9,-5,10
5,7,-3,11
6,4,-3,2
7,-2,-6,0
8,-1,-7,3
9,3,-5,13
10,9,-6,22
11,17,-8,23
12,17,-4,23
13,18,2,23
14,16,4,20
15,16,4,21
16,18,4,23
17,19,2,19
18,20,0,18
19,18,1,16
20,19,-6,20
21,18,-8,21
22,14,-6,17
23,14,-3,16
24,12,3,18
25,13,4,18
26,12,6,11
27,4,5,9
28,6,4,12
29,7,2,12
30,9,-2,16
31,13,-3,17
32,14,-4,20
33,15,-2,17
34,9,-2,14
35,7,-1,13
36,7,-2,22
37,14,-3,24
38,16,-4,24
39,20,-7,23
40,13,-6,16
41,12,-3,17
42,14,0,26
43,22,3,26
44,14,6,22
45,13,8,16
46,13,3,14
47,9,-1,12
48,10,0,14
49,14,-1,21
50,17,-1,23
51,17,-2,18
52,16,-3,19
53,19,-4,19
54,19,-2,19
55,20,-3,22
56,13,1,14
57,11,-2,16
58,12,-2,24
59,19,-3,26
60,22,-1,22
61,12,-3,15
62,9,-7,14
63,11,-9,16
64,11,-11,18
65,19,-10,23
66,17,-10,22
67,16,-9,19
68,16,-8,22
69,18,-8,22
70,12,-7,19
71,9,-8,13
72,8,-5,17
73,7,-3,13
74,4,-1,14
75,6,1,17
76,14,-1,22
77,16,-6,22
78,14,-1,23
79,18,0,25
80,21,1,23
81,19,2,22
82,18,0,23
83,21,1,24
84,21,2,23
85,20,3,23
86,22,2,26
87,22,4,24
88,23,4,23
89,21,4,21
90,19,4,21
91,19,5,21
92,21,3,24
93,19,4,22
94,22,7,23
95,23,7,20
96,14,6,18
97,14,4,19
98,13,4,19
99,16,7,23
100,18,6,24
101,21,5,21
102,22,7,21
103,21,8,23
104,22,7,22
105,21,5,23
106,22,7,24
107,23,5,24
108,22,6,22
109,22,4,23
110,24,6,25
111,23,7,26
112,22,7,25
113,17,8,17
114,17,8,19
115,19,10,24
116,21,7,29
117,24,8,19
118,26,6,28
119,26,7,28
120,24,7,20
