Day,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Conneticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1,14,-4,12,7,8,1,2,7,8,17,8,22,-12,-1,1,-2,0,6,20,0,8,4,0,-3,18,0,-12,-1,2,-1,6,2,-2,8,-6,3,8,3,6,2,10,-9,9,17,-4,,,,,,
2,17,-5,11,10,7,1,-1,6,6,19,12,22,-7,5,7,2,6,12,20,-2,6,1,1,-1,17,7,-16,1,1,-6,2,1,-3,9,-13,7,14,-1,2,-1,17,-9,14,18,-4,,,,,,
3,14,-6,12,9,9,-7,3,8,7,21,16,22,-6,1,6,-6,-2,11,17,-3,7,6,2,-8,18,1,-19,-7,1,-1,6,3,1,10,-21,9,3,0,5,5,18,-18,12,16,-6,,,,,,
4,9,-5,13,1,10,-13,6,8,8,14,8,22,-6,-8,-3,-12,-9,0,12,0,8,6,-8,-18,8,-7,-18,-12,2,4,7,3,1,12,-22,-1,-2,-1,6,6,14,-20,2,6,-1,,,,,,
5,7,-3,14,-1,6,-17,-1,0,1,12,6,22,-13,-11,-10,-13,-11,-6,12,-3,2,-1,-12,-19,6,-9,-22,-16,-6,-3,-2,-2,-4,3,-20,-9,-6,-2,-2,-1,9,-18,-2,9,-10,,,,,,
6,4,-3,14,-6,3,-13,-3,-1,-1,16,3,22,-19,-14,-14,-14,-13,-10,3,-7,0,-2,-13,-19,-1,-13,-18,-16,-9,-8,-3,-9,-8,3,-22,-12,-12,-3,-4,-3,7,-17,-6,-2,-13,,,,,,
7,-2,-6,13,-6,9,-8,-7,-6,-5,5,-3,21,-12,-12,-13,-9,-11,-12,-2,-12,-4,-7,-13,-15,-4,-9,-18,-12,-2,-11,-6,-8,-7,-3,-27,-13,-9,-3,-5,-6,1,-19,-8,0,-14,,,,,,
8,-1,-7,17,-4,16,-1,-9,-8,-7,2,-4,22,-1,-11,-11,-9,-3,-9,1,-12,-6,-9,-11,-14,-3,-8,-12,-8,4,-12,-7,0,-6,-6,-22,-11,-1,1,-7,-8,-1,-10,-7,3,-1,,,,,,
9,3,-5,16,3,12,10,-11,-9,-5,4,1,22,3,-1,-3,-4,1,-2,7,-14,-6,-10,-6,-7,6,1,-4,-3,4,-14,-10,3,-11,-7,-17,-6,6,3,-7,-11,1,-11,1,14,6,,,,,,
10,9,-6,16,16,12,4,-6,-3,0,9,6,23,2,7,7,1,5,7,18,-7,0,-2,3,-9,16,8,-11,-1,4,-7,-4,6,-2,2,-17,4,12,3,-2,-3,6,-12,11,21,5,,,,,,
11,17,-8,14,18,9,4,8,8,8,13,15,23,0,7,8,-4,6,10,20,7,8,8,3,-14,20,10,-18,-4,3,6,7,7,7,9,-24,7,14,1,3,9,15,-14,17,21,4,,,,,,
