State,Index,Grocery,Housing,Utilities
Alabama,90.3,97.4,73,109
Alaska,131.3,135.7,140.3,141.5
Arizona,95.6,100.1,89.5,98.3
Arkansas,87.8,91.7,77,97.7
California,141,117.4,209.2,112.9
Colorado,102.3,98.5,113.9,82.7
Connecticut,125.7,105.1,156.3,104.1
Delaware,102.9,108,99,104.6
District of Columbia,161.8,112.4,269.8,116.4
Florida,99.3,104.4,97.4,102.9
Georgia,90.8,98.9,75.5,94.6
Hawaii,188.3,162.6,301.7,190.1
Idaho,92.2,90.4,81.2,94.3
Illinois,97.2,96.2,90.4,96.1
Indiana,91.1,94.6,77.7,94.6
Iowa,91.3,94,80.4,95.4
Kansas,90.2,94.5,77.2,98.2
Kentucky,93.7,89.9,84.5,96.7
Louisiana,94.4,98.3,87.9,94.2
Maine,113.6,100.6,124.9,117.3
Maryland,128.7,111.6,183.1,104.2
Massachusetts,132.9,109.7,172.6,122.1
Michigan,89.7,91.7,79.2,91.9
Minnesota,99.7,106.9,89.5,89.6
Mississippi,85.1,94.2,70.7,89.6
Missouri,89.9,98.3,74.2,103.2
Montana,100.4,102.2,107.8,77.5
Nebraska,92.9,95.8,87.8,86.7
Nevada,104.7,101.4,108.3,85.9
New Hampshire,115,114,110.1,132
New Jersey,121.9,105.8,151.3,115.6
New Mexico,94.9,93.2,93.5,84.4
New York,132.5,111,189.2,105.2
North Carolina,94.6,98.5,84.2,97
North Dakota,99.7,105.3,94.9,85.1
Ohio,92.3,99.3,76.8,93.1
Oklahoma,89.2,95.5,75.2,98.1
Oregon,129.3,115.6,179,78.4
Pennsylvania,102,104.2,100,110.4
Rhode Island,123.6,115.4,140.7,127.4
South Carolina,99.5,102.9,87.6,111.7
South Dakota,99.5,102.3,110.2,97.1
Tennessee,89.8,92.5,78.3,94.3
Texas,91.2,90.2,84.8,99.5
Utah,95.7,101.8,94.1,79.7
Vermont,120.7,112.3,146.9,119.8
Virginia,102.2,97.2,111.6,100.1
Washington,107.1,107.4,107.8,94
West Virginia,95.9,103.5,87.2,88.8
Wisconsin,96.2,97.5,87.3,101
Wyoming,95.6,109.7,81.9,109.8
