,2011,2012,2013,2014,2015
Alabama,4799918,4815960,4829479,4843214,4853875
Alaska,722713,731089,736879,736705,737709
Arizona,6467163,6549634,6624617,6719993,6817565
Arkansas,2939493,2950685,2958663,2966912,2977853
California,37676861,38011074,38335203,38680810,38993940
Colorado,5118360,5189867,5267603,5349648,5448819
Connecticut,3589893,3593795,3596003,3591873,3584730
Delaware,907924,916993,925395,934948,944076
Florida,19096952,19344156,19582022,19888741,20244914
Georgia,9811610,9914668,9984938,10087231,10199398
Hawaii,1377864,1391820,1406481,1416349,1425157
Idaho,1584143,1595911,1612011,1633532,1652828
Illinois,12860012,12870798,12879505,12867544,12839047
Indiana,6516480,6537743,6569102,6595233,6612768
Iowa,3065223,3076310,3091930,3108030,3121997
Kansas,2869503,2885262,2892821,2899360,2906721
Kentucky,4369354,4384799,4400477,4413057,4424611
Louisiana,4575404,4603429,4626402,4647880,4668960
Maine,1328231,1328895,1329076,1330719,1329453
Maryland,5843603,5889651,5931129,5967295,5994983
Massachusetts,6611923,6658008,6706786,6749911,6784240
Michigan,9876213,9887238,9898982,9915767,9917715
Minnesota,5348562,5380285,5418521,5453109,5482435
Mississippi,2978162,2984945,2990482,2992400,2989390
Missouri,6010717,6025415,6042711,6060930,6076204
Montana,997821,1005196,1014314,1022867,1032073
Nebraska,1842283,1855725,1868559,1881145,1893765
Nevada,2718379,2752565,2786464,2833013,2883758
New Hampshire,1318473,1321182,1322687,1328743,1330111
New Jersey,8841243,8873211,8899162,8925001,8935421
New Mexico,2077756,2083784,2085193,2083024,2080328
New York,19519529,19602769,19673546,19718515,19747183
North Carolina,9650963,9746175,9841590,9934399,10035186
North Dakota,685476,702087,724019,739904,756835
Ohio,11544824,11550839,11570022,11594408,11605090
Oklahoma,3786274,3817054,3852415,3877499,3907414
Oregon,3868031,3899116,3925751,3968371,4024634
Pennsylvania,12744293,12771854,12781338,12790565,12791904
Rhode Island,1052451,1052901,1053033,1054480,1055607
South Carolina,4672637,4720760,4767894,4828430,4894834
South Dakota,824398,834441,844922,852561,857919
Tennessee,6397634,6454306,6494821,6544663,6595056
Texas,25646389,26071655,26473525,26944751,27429639
Utah,2816124,2855782,2902663,2941836,2990632
Vermont,626730,626444,627140,626984,626088
Virginia,8110035,8192048,8262692,8317372,8367587
Washington,6822520,6895226,6968006,7054196,7160290
West Virginia,1854972,1856560,1853231,1848514,1841053
Wisconsin,5709640,5726177,5742854,5758377,5767891
Wyoming,567725,576765,582684,583642,586555
